PHX,ID - 1,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage
,6,Michael,Carter-Williams,0.42,0.26,0.7,0.29,0.14,0.16
,7,Terrence,Ross,0.49,0.37,0.43,0.1,0.07,0.24
,8,Al-Farouq,Aminu,0.5,0.35,0.54,0.14,0.15,0.14
,9,Khem,Birch,0.59,0,1,0.09,0.16,0.15
,10,Mo,Bamba,0.57,0.31,0.72,0.07,0.17,0.19
,11,Markelle,Fultz,0.45,0.3,0.92,0.22,0.09,0.2
,12,Wes,Iwundu,0.44,0.37,0.72,0.08,0.08,0.13
WAS,ID - 30,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage
,1,Ish,Smith,0.47,0.35,0.76,0.25,0.06,0.2
,2,Bradley,Beal,0.54,0.36,0.64,0.24,0.07,0.34
,3,CJ,Miles,0.45,0.37,0.37,0.07,0.06,0.19
,4,Rui,Hachimura,0.6,0.37,0.9,0.05,0.16,0.18
,5,Thomas,Bryant,0.66,0.32,0.77,0.1,0.16,0.22
,6,Isaiah,Thomas,0.44,0.32,0.57,0.24,0.04,0.3
,7,Jordan,McRae,0.52,0.32,0.75,0.13,0.07,0.21
,8,Troy,Brown Jr.,0.46,0.33,0.72,0.15,0.12,0.18
,9,Davis,Bertans,0.53,0.43,0.27,0.08,0.09,0.14
,10,Ian,Mahinmi,0.52,0.17,0.87,0.06,0.14,0.13
,11,Isaac,Bonga,0.37,0.2,0.8,0.13,0.11,0.16
,12,Justin,Robinson,0.48,0.37,0.5,0.08,0.05,0.15
